learner,fraction_targeted,cumulative_uplift
S-Learner,266092.0,2069.376332189419
S-Learner,266712.0,2072.2556284723264
S-Learner,267352.0,2069.1660132786483
S-Learner,267979.0,2073.4450651726606
S-Learner,268634.0,2078.418587294258
S-Learner,269531.0,2065.040421428954
S-Learner,270207.0,2069.5144438605066
S-Learner,271019.0,2077.4387972047016
S-Learner,271699.0,2072.0121412658636
S-Learner,272329.0,2077.609482192873
S-Learner,272926.0,2082.479835510191
S-Learner,273557.0,2088.6527733021453
S-Learner,274123.0,2089.2666815079992
S-Learner,274840.0,2097.5426792593503
S-Learner,275488.0,2100.8025366482566
S-Learner,276113.0,2094.3885910031468
S-Learner,276699.0,2088.8123769097474
S-Learner,277420.0,2093.3978441045315
S-Learner,278247.0,2094.4956612806127
S-Learner,279023.0,2092.326878954794
S-Learner,280123.0,2092.073035044599
S-Learner,280863.0,2102.879388708893
S-Learner,281614.0,2098.840648569691
S-Learner,282244.0,2094.7549866989384
S-Learner,282957.0,2095.870647352072
S-Learner,283601.0,2082.2219353098244
S-Learner,284327.0,2076.685732391435
S-Learner,284916.0,2079.0873539119866
S-Learner,285639.0,2085.490187125308
S-Learner,286562.0,2091.3418638664534
S-Learner,287313.0,2095.0122945144753
S-Learner,287975.0,2100.1296141451076
S-Learner,288798.0,2108.689411127378
S-Learner,289524.0,2108.2585603004977
S-Learner,290288.0,2111.950199392892
S-Learner,290930.0,2114.89206960947
S-Learner,291769.0,2119.8982045085936
S-Learner,292406.0,2121.9479206289
S-Learner,293071.0,2122.7421380954293
S-Learner,294105.0,2131.46997627509
S-Learner,294704.0,2134.8984024120596
S-Learner,295598.0,2137.1447062219854
S-Learner,296430.0,2132.4213438530815
S-Learner,297099.0,2135.569225597721
S-Learner,298018.0,2137.71415489042
S-Learner,298761.0,2143.788556853114
S-Learner,299404.0,2148.663631502072
S-Learner,300076.0,2154.8506272402715
S-Learner,300836.0,2156.728097500081
S-Learner,301667.0,2144.6346551151532
S-Learner,302427.0,2140.2901856505587
S-Learner,303196.0,2147.0583738758805
S-Learner,303899.0,2152.9067115482153
S-Learner,304705.0,2151.678231544835
S-Learner,305380.0,2158.438402954086
S-Learner,306028.0,2162.2735179027186
S-Learner,306937.0,2163.6584548887176
S-Learner,307702.0,2166.5224375984876
S-Learner,308375.0,2169.6234852097323
S-Learner,309082.0,2175.185131956782
S-Learner,309766.0,2179.775401559175
S-Learner,310472.0,2176.0767118418344
S-Learner,311322.0,2179.4877926098243
S-Learner,312164.0,2182.4732044631487
S-Learner,312940.0,2186.758200059287
S-Learner,314421.0,2199.39861270228
S-Learner,315485.0,2200.8636530687804
S-Learner,316385.0,2205.090487964653
S-Learner,317112.0,2209.10116523509
S-Learner,317793.0,2215.23735329826
S-Learner,318424.0,2217.6278727631334
S-Learner,319086.0,2219.7535034174916
S-Learner,320075.0,2219.422956617249
S-Learner,320698.0,2222.4967815391656
S-Learner,321472.0,2225.1514773231374
S-Learner,322223.0,2229.68515795709
S-Learner,323044.0,2232.2483683551977
S-Learner,323887.0,2236.0248580064563
S-Learner,324579.0,2240.744477661673
S-Learner,325781.0,2244.400180291322
S-Learner,326464.0,2247.110775560029
S-Learner,327270.0,2252.084039293289
S-Learner,328038.0,2256.9918522748135
S-Learner,328738.0,2258.1193776537957
S-Learner,329466.0,2260.006591398135
S-Learner,330146.0,2265.7682982241813
S-Learner,331150.0,2268.6509706492475
S-Learner,331890.0,2269.70176251921
S-Learner,332647.0,2270.705724392595
S-Learner,333405.0,2270.95006276687
S-Learner,334477.0,2275.962284896628
S-Learner,335271.0,2268.6573991858445
S-Learner,336057.0,2276.4573379953467
S-Learner,336923.0,2281.354886212205
S-Learner,337660.0,2284.7606586570664
S-Learner,338468.0,2288.0385865765606
S-Learner,339311.0,2291.789963127153
S-Learner,340072.0,2294.8507497378505
S-Learner,340887.0,2294.548516444378
S-Learner,341705.0,2297.0601873969
S-Learner,342556.0,2299.068151027842
S-Learner,343409.0,2300.964962997554
S-Learner,344100.0,2303.511160349629
S-Learner,344973.0,2306.744271671187
S-Learner,345739.0,2308.490292128209
S-Learner,346958.0,2303.408874093996
S-Learner,347856.0,2304.177788543985
S-Learner,348918.0,2303.466762956219
S-Learner,349709.0,2306.3253837181173
S-Learner,350712.0,2314.377205664226
S-Learner,351472.0,2318.1463366714993
S-Learner,352478.0,2324.929192679985
S-Learner,353285.0,2324.9310599191313
S-Learner,354081.0,2327.5419082844705
S-Learner,355168.0,2327.8065585727554
S-Learner,356004.0,2323.23379466754
S-Learner,356725.0,2327.2494482065317
S-Learner,357454.0,2327.5657869914417
S-Learner,358338.0,2332.454956501812
S-Learner,359242.0,2336.1435906257734
S-Learner,359950.0,2339.567125440226
S-Learner,360719.0,2342.8457643661636
S-Learner,361509.0,2346.7501291715143
S-Learner,362652.0,2351.473986460628
S-Learner,363752.0,2355.6817624374694
S-Learner,364749.0,2361.0283071496588
S-Learner,365522.0,2361.921555225219
S-Learner,366420.0,2365.4628324514197
S-Learner,367677.0,2368.73767562729
S-Learner,368512.0,2369.4229223362377
S-Learner,369498.0,2369.2032537753203
S-Learner,370158.0,2378.4616546786256
S-Learner,370880.0,2383.912738266278
S-Learner,372057.0,2387.8125804950655
S-Learner,372850.0,2391.573320628789
S-Learner,373721.0,2396.6554773099847
S-Learner,374528.0,2390.886359887103
S-Learner,375460.0,2393.7016606363186
S-Learner,376268.0,2397.8281010863493
S-Learner,377138.0,2399.679747628302
S-Learner,377863.0,2402.177088307037
S-Learner,378601.0,2396.2094478565978
S-Learner,379875.0,2403.0708896940923
S-Learner,380683.0,2409.8378376112805
S-Learner,381685.0,2414.684868407554
S-Learner,382385.0,2416.1982089147473
S-Learner,383450.0,2417.849816289666
S-Learner,384230.0,2422.2960366353536
S-Learner,385155.0,2425.336788630804
S-Learner,386295.0,2421.6352454265116
S-Learner,387089.0,2427.29164603796
S-Learner,388344.0,2434.4908988525417
S-Learner,389357.0,2439.265410783918
S-Learner,390187.0,2440.0680194427655
S-Learner,391066.0,2442.965390359553
S-Learner,392110.0,2439.2463339536635
S-Learner,393031.0,2435.1660647099834
S-Learner,394015.0,2432.146322954312
S-Learner,395146.0,2437.093363021021
S-Learner,395814.0,2437.752270544849
S-Learner,396840.0,2440.8074551165737
S-Learner,397628.0,2445.0306333204157
S-Learner,398392.0,2447.7044288816883
S-Learner,399419.0,2444.7672988917993
S-Learner,400430.0,2449.8623156187596
S-Learner,401181.0,2451.3290449514593
S-Learner,402218.0,2450.2854962252213
S-Learner,403226.0,2449.795745373964
S-Learner,404149.0,2454.376711993388
S-Learner,404977.0,2456.8988526979874
S-Learner,406385.0,2462.002905567228
S-Learner,407318.0,2462.197490778756
