strategy,fraction_targeted,cumulative_uplift
X-learner CATE,1048973.0,2980.748334365925
X-learner CATE,1051739.0,2980.0344537437463
X-learner CATE,1054477.0,2979.7802553864813
X-learner CATE,1057223.0,2981.859860686129
X-learner CATE,1059945.0,2981.7191815987644
X-learner CATE,1062664.0,2983.0682754649833
X-learner CATE,1065385.0,2984.3078583247857
X-learner CATE,1068126.0,2987.6669078156356
X-learner CATE,1070868.0,2988.1363909849656
X-learner CATE,1073583.0,2988.1607106805204
X-learner CATE,1076299.0,2987.649348885713
X-learner CATE,1079019.0,2988.9175717711614
X-learner CATE,1081745.0,2991.9051916180333
X-learner CATE,1084466.0,2979.942035195471
X-learner CATE,1087181.0,2980.3142237715897
X-learner CATE,1089896.0,2981.1160982905835
X-learner CATE,1092637.0,2981.6676304490043
X-learner CATE,1095364.0,2983.173708772446
X-learner CATE,1098095.0,2983.521343123643
X-learner CATE,1100828.0,2986.243878055832
X-learner CATE,1103543.0,2985.613164350002
X-learner CATE,1106265.0,2987.389373862039
X-learner CATE,1108988.0,2987.136921617436
X-learner CATE,1111703.0,2981.14403586263
X-learner CATE,1114463.0,2982.1513776313013
X-learner CATE,1117192.0,2984.6310637163933
X-learner CATE,1119913.0,2986.299155734961
X-learner CATE,1122724.0,2986.6344005684696
X-learner CATE,1125552.0,2985.553181945167
X-learner CATE,1128317.0,2985.964141939324
X-learner CATE,1131036.0,2985.1878304464744
X-learner CATE,1133762.0,2985.336072042249
X-learner CATE,1136494.0,2987.3747530278556
X-learner CATE,1139227.0,2988.193766146769
X-learner CATE,1141968.0,2989.2490022154702
X-learner CATE,1144698.0,2983.3869411017436
X-learner CATE,1147413.0,2985.641118074707
X-learner CATE,1150140.0,2986.7674283406377
X-learner CATE,1152856.0,2988.1388469649296
X-learner CATE,1155578.0,2988.422965155544
X-learner CATE,1158299.0,2989.7209624615684
X-learner CATE,1161017.0,2990.5592219752007
X-learner CATE,1163732.0,2992.380707117646
X-learner CATE,1166447.0,2994.932396811769
X-learner CATE,1169165.0,2996.280956213889
X-learner CATE,1171888.0,2990.7953939923573
X-learner CATE,1174603.0,2991.7530834189574
X-learner CATE,1177318.0,2991.295948688389
X-learner CATE,1180034.0,2993.418796254826
X-learner CATE,1182751.0,2994.9760278243975
X-learner CATE,1185472.0,2994.1660898569103
X-learner CATE,1188197.0,2996.0707537508797
X-learner CATE,1190912.0,2997.2568290914433
X-learner CATE,1193627.0,2998.7557939043927
X-learner CATE,1196344.0,2999.661295091743
X-learner CATE,1199073.0,3002.820829918474
X-learner CATE,1201787.0,3002.926311590657
X-learner CATE,1204502.0,3003.804402656756
X-learner CATE,1207217.0,3004.28998460295
X-learner CATE,1209931.0,3006.9846287053624
X-learner CATE,1212650.0,3008.4282649818733
X-learner CATE,1215371.0,3009.7809174815075
X-learner CATE,1218100.0,3004.284160203636
X-learner CATE,1220856.0,3004.5303428119664
X-learner CATE,1223645.0,3004.7799950726135
X-learner CATE,1226386.0,3006.0404339896763
X-learner CATE,1229155.0,3006.438586838876
X-learner CATE,1231968.0,3006.2364091925156
X-learner CATE,1234811.0,3006.7497151145417
X-learner CATE,1237596.0,3007.9742319992865
X-learner CATE,1240314.0,3010.070705614354
X-learner CATE,1243033.0,3008.788921833533
X-learner CATE,1245775.0,3008.412497199102
X-learner CATE,1248495.0,3010.216517728788
X-learner CATE,1251242.0,3010.7596466328973
X-learner CATE,1253963.0,3013.793753112251
X-learner CATE,1256722.0,3014.075650443093
X-learner CATE,1259478.0,3014.3730449747036
X-learner CATE,1262193.0,3015.4241133963424
X-learner CATE,1264911.0,3017.102292972245
X-learner CATE,1267653.0,3018.5195815499146
X-learner CATE,1270389.0,3018.843103298874
X-learner CATE,1273124.0,3021.443594794218
X-learner CATE,1275866.0,3022.4323568894115
X-learner CATE,1278627.0,3023.052698008574
X-learner CATE,1281345.0,3022.3891840725005
X-learner CATE,1284075.0,3023.1690879497414
X-learner CATE,1286794.0,3018.5179328965864
X-learner CATE,1289510.0,3018.163591950977
X-learner CATE,1292227.0,3018.1358425822395
X-learner CATE,1294947.0,3017.505437049252
X-learner CATE,1297661.0,3010.0164111169865
X-learner CATE,1300377.0,3004.712718151576
X-learner CATE,1303096.0,3005.775288869183
X-learner CATE,1305813.0,3008.6422548956816
X-learner CATE,1308528.0,3009.024372614653
